organism_id,antibiotic_id,resistance_pct,n_isolates
B_SERRT_MRCS,MEM,0.1,19803
B_SERRT_MRCS,FEP,5.9,5978
B_SERRT_MRCS,CTX,11.8,18705
B_SERRT_MRCS,CAZ,9.0,19643
B_SERRT_MRCS,CRO,11.5,10809
B_SERRT_MRCS,CIP,4.8,19656
B_SERRT_MRCS,LVX,4.7,8361
B_SERRT_MRCS,MFX,39.1,978
B_SERRT_MRCS,PIP,17.6,13527
B_SERRT_MRCS,TZP,7.5,19731
B_SERRT_MRCS,SXT,0.7,19764
B_SERRT_MRCS,FOS,12.9,6701
B_SERRT_MRCS,TMP,4.0,3975
B_STPHY_AURS,AMK,3.6,2007
B_STPHY_AURS,GEN,2.4,137325
B_STPHY_AURS,TOB,4.5,17689
B_STPHY_AURS,ETP,6.3,10626
B_STPHY_AURS,IPM,6.9,87906
B_STPHY_AURS,MEM,7.0,72704
B_STPHY_AURS,FEP,6.0,10459
B_STPHY_AURS,CTX,7.7,30093
B_STPHY_AURS,FOX,7.5,17423
B_STPHY_AURS,CRO,7.6,36553
B_STPHY_AURS,CXM,6.7,103755
B_STPHY_AURS,CIP,16.5,51469
B_STPHY_AURS,LVX,12.8,136596
B_STPHY_AURS,MFX,13.8,57198
B_STPHY_AURS,TEC,0.4,93241
B_STPHY_AURS,VAN,0.0,138683
B_STPHY_AURS,AZM,20.2,34633
B_STPHY_AURS,CLR,18.6,32525
B_STPHY_AURS,CLI,18.2,134720
B_STPHY_AURS,ERY,19.0,137547
B_STPHY_AURS,AMC,6.8,63453
B_STPHY_AURS,SAM,7.5,108536
B_STPHY_AURS,FLC,9.5,27293
B_STPHY_AURS,OXA,7.8,136952
B_STPHY_AURS,PEN,73.1,97634
B_STPHY_AURS,TZP,7.2,73422
B_STPHY_AURS,SXT,1.7,142971
B_STPHY_AURS,DAP,0.3,102937
B_STPHY_AURS,FOS,1.5,121641
B_STPHY_AURS,FUS,3.0,107687
B_STPHY_AURS,LNZ,0.0,130972
B_STPHY_AURS,NIT,42.2,13311
B_STPHY_AURS,RIF,0.8,124060
B_STPHY_AURS,TMP,4.1,1315
B_STPHY_AURS,DOX,3.8,66640
B_STPHY_AURS,TCY,4.0,99358
B_STPHY_AURS,TGC,0.1,109279
B_STPHY_EPDR,AMK,38.9,1872
B_STPHY_EPDR,GEN,31.3,77269
B_STPHY_EPDR,TOB,43.5,10005
B_STPHY_EPDR,ETP,57.1,6458
B_STPHY_EPDR,IPM,61.1,51840
B_STPHY_EPDR,MEM,61.0,42366
B_STPHY_EPDR,FEP,59.8,6136
B_STPHY_EPDR,CTX,65.1,19226
B_STPHY_EPDR,FOX,60.2,9996
B_STPHY_EPDR,CRO,62.8,22933
B_STPHY_EPDR,CXM,61.1,59314
B_STPHY_EPDR,CIP,44.2,30082
B_STPHY_EPDR,LVX,41.9,78184
B_STPHY_EPDR,MFX,42.4,30603
B_STPHY_EPDR,TEC,21.9,44366
B_STPHY_EPDR,VAN,0.1,81246
B_STPHY_EPDR,AZM,60.3,21631
B_STPHY_EPDR,CLR,59.6,20464
B_STPHY_EPDR,CLI,44.1,82099
B_STPHY_EPDR,ERY,59.5,78672
B_STPHY_EPDR,AMC,60.4,36760
B_STPHY_EPDR,SAM,60.8,60621
B_STPHY_EPDR,FLC,59.7,14522
B_STPHY_EPDR,OXA,60.8,77105
B_STPHY_EPDR,TZP,61.8,43114
B_STPHY_EPDR,SXT,18.1,81434
B_STPHY_EPDR,DAP,0.2,63381
B_STPHY_EPDR,FOS,17.7,70903
B_STPHY_EPDR,FUS,35.4,61869
B_STPHY_EPDR,LNZ,0.9,77848
B_STPHY_EPDR,NIT,2.5,5496
B_STPHY_EPDR,RIF,5.4,74167
B_STPHY_EPDR,TMP,35.2,721
B_STPHY_EPDR,DOX,26.0,34515
B_STPHY_EPDR,TCY,33.8,58795
B_STPHY_EPDR,TGC,0.2,62933
B_STPHY_EPDR,AMK,38.9,1872
B_STPHY_EPDR,GEN,31.3,77269
B_STPHY_EPDR,TOB,43.5,10005
B_STPHY_EPDR,ETP,57.1,6458
B_STPHY_EPDR,IPM,61.1,51840
B_STPHY_EPDR,MEM,61.0,42366
B_STPHY_EPDR,FEP,59.8,6136
B_STPHY_EPDR,CTX,65.1,19226
B_STPHY_EPDR,FOX,60.2,9996
B_STPHY_EPDR,CRO,62.8,22933
B_STPHY_EPDR,CXM,61.1,59314
B_STPHY_EPDR,CIP,44.2,30082
B_STPHY_EPDR,LVX,41.9,78184
B_STPHY_EPDR,MFX,42.4,30603
B_STPHY_EPDR,TEC,21.9,44366
B_STPHY_EPDR,VAN,0.1,81246
B_STPHY_EPDR,AZM,60.3,21631
B_STPHY_EPDR,CLR,59.6,20464
B_STPHY_EPDR,CLI,44.1,82099
B_STPHY_EPDR,ERY,59.5,78672
B_STPHY_EPDR,AMC,60.4,36760
B_STPHY_EPDR,SAM,60.8,60621
B_STPHY_EPDR,FLC,59.7,14522
B_STPHY_EPDR,OXA,60.8,77105
B_STPHY_EPDR,TZP,61.8,43114
B_STPHY_EPDR,SXT,18.1,81434
B_STPHY_EPDR,DAP,0.2,63381
B_STPHY_EPDR,FOS,17.7,70903
B_STPHY_EPDR,FUS,35.4,61869
B_STPHY_EPDR,LNZ,0.9,77848
B_STPHY_EPDR,NIT,2.5,5496
B_STPHY_EPDR,RIF,5.4,74167
B_STPHY_EPDR,TMP,35.2,721
B_STPHY_EPDR,DOX,26.0,34515
B_STPHY_EPDR,TCY,33.8,58795
B_STPHY_EPDR,TGC,0.2,62933
B_STNTR_MLTP,SXT,3.0,10196
B_STRPT_PNMN,ETP,0.0,158
B_STRPT_PNMN,IPM,0.1,1746
B_STRPT_PNMN,MEM,0.1,2254
B_STRPT_PNMN,FEP,0.0,291
B_STRPT_PNMN,CTX,0.3,5244
B_STRPT_PNMN,CRO,0.3,4748
B_STRPT_PNMN,CXM,1.0,2887
B_STRPT_PNMN,LVX,0.6,5569
B_STRPT_PNMN,MFX,0.2,5092
B_STRPT_PNMN,TEC,0.0,2790
B_STRPT_PNMN,VAN,0.0,5588
B_STRPT_PNMN,AZM,11.7,1338
B_STRPT_PNMN,CLR,11.7,1275
